Window,Day 1,Day 2,Day 3
0,0.159245822537,0.129730428149,0.146968939138
1,0.147167078778,0.143718225042,0.143385679173
2,0.164077717604,0.137654466811,0.137490269106
3,0.180066141127,0.145098758899,0.267565725926
4,0.142265629399,0.141417058082,0.141280583877
5,0.145610684033,0.129342025634,0.160511154935
6,0.137804886753,0.11535619856,0.157851710392
7,0.141964300688,0.112842678408,0.164625508423
8,0.164462448128,0.124291919979,0.15664707567
9,0.148011063497,0.146616884913,0.134407403546
10,0.187022644296,0.120176056884,0.156991041136
11,0.16491217459,0.124099903099,0.128942526245
12,0.155930757017,0.117426229326,0.144343014213
13,0.154906176192,0.125662341913,0.172214394626
14,0.15335410055,0.119943472619,0.162253407523
15,0.133860775265,0.138339213515,0.151590221919
16,0.140564436756,0.128369852513,0.146173176597
17,0.151855119436,0.137481688248,0.166762477438
18,0.153902927438,0.131007908049,0.158690093302
19,0.153732063998,0.130971121041,0.158733333671
20,0.153659452659,0.130431478775,0.159021555047
21,0.153087958808,0.130548900575,0.160360634869
22,0.149982003256,0.130100017557,0.154650694467
23,0.14971086805,0.129379433673,0.154719862404
24,0.149878570593,0.129091870885,0.154037034317
25,0.149658347062,0.129235757015,0.154337333532
26,0.149064685752,0.130274842454,0.15419054755
27,0.148697297706,0.130505857196,0.154155405306
28,0.148796667834,0.128661214078,0.155751449826
29,0.147129267975,0.129351980916,0.156141774415
30,0.147176838255,0.130042114206,0.157759066433
31,0.147354291906,0.131517101931,0.158587589949
32,0.146904315608,0.131961190334,0.159076869807
33,0.145849175189,0.132875212052,0.159445877084
34,0.147111885632,0.132182607737,0.160125019804
35,0.14725235439,0.132838593936,0.160551822092
36,0.145887262777,0.132641330328,0.160735298256
37,0.143817683443,0.133361150953,0.160754186209
38,0.14351000739,0.134015384733,0.160912920344
39,0.142844068673,0.135411621634,0.162151756478
40,0.142522020065,0.135871232144,0.162722221604
41,0.140547653371,0.136399794715,0.163705416213
42,0.141659924018,0.135609598563,0.1644960138
43,0.141894069986,0.135936386453,0.164920307177
44,0.140882959412,0.136151079336,0.165573343122
45,0.141135409097,0.13654042315,0.166436737046
46,0.140733702774,0.136097049682,0.166963362626
47,0.140745488279,0.135831841719,0.165497979994
48,0.140316426467,0.137390178997,0.165563995235
49,0.139936991425,0.137887715135,0.166903988299
50,0.140971827391,0.137460741893,0.16764432472
51,0.140803799876,0.137309704709,0.167299207328
52,0.140234017277,0.137407846506,0.166442392078
53,0.141058807668,0.136914582712,0.166019880911
54,0.141044774505,0.137969303722,0.16529348488
55,0.141242383788,0.138945440343,0.165046194495
56,0.141970687147,0.139319190653,0.16397008452
57,0.142464769393,0.138254535087,0.16262241169
58,0.143146745357,0.137509779315,0.161703705761
59,0.144812940858,0.136886035768,0.159606213992
60,0.144205107666,0.136995996109,0.158776363086
61,0.144785648776,0.136534820598,0.157737566083
62,0.143685613468,0.13696027833,0.155942698618
63,0.143848370275,0.137478455182,0.154847347554
64,0.144061408447,0.138030159097,0.153274150904
65,0.144213149945,0.138937753942,0.152289180473
66,0.145464761419,0.138892061684,0.150585581267
67,0.144635083857,0.139998646961,0.151056092543
68,0.144208693562,0.140229179931,0.149505848875
69,0.144219344624,0.140486405838,0.146393994241
70,0.141617799046,0.141447930178,0.144294859537
71,0.140827678375,0.142329113092,0.143892327115
72,0.141287322512,0.143406241817,0.143303687057
73,0.139327104018,0.144500214654,0.142603865079
74,0.137937749254,0.142185157385,0.141788749462
75,0.136282786085,0.141593857496,0.1419236497
76,0.135092476665,0.141746427248,0.141374944699
77,0.134977187897,0.141580797935,0.141199483632
78,0.132774394167,0.141750492234,0.141438453463
79,0.130424459499,0.14152096484,0.142063265229
80,0.130807967203,0.140965007946,0.143483937115
